City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
107304,Buraidah,0,SA,1603764487,30,26.33,43.98,60.8,4.7
1855612,Nara,20,JP,1603764353,59,34.69,135.8,72.0,2.24
2014836,Tupik,100,RU,1603764489,94,54.43,119.93,24.67,13.47
2146219,Hervey Bay,99,AU,1603764490,80,-25.3,152.85,80.01,4.0
1835848,Seoul,1,KR,1603764298,71,37.57,126.98,60.8,1.57
5847411,Kahului,1,US,1603764492,52,20.89,-156.47,87.8,6.93
2387495,Carnot,95,CF,1603764493,92,4.94,15.87,69.48,2.46
2120612,Tigil',100,RU,1603764495,62,57.8,158.67,43.97,4.27
338345,Edd,0,ER,1603764496,38,13.93,41.69,81.63,12.86
2128975,Nemuro,40,JP,1603764497,62,43.32,145.57,53.6,2.24
2027296,Aykhal,100,RU,1603764499,83,66.0,111.5,-5.8,4.61
1849892,Tottori-shi,20,JP,1603764501,59,35.5,134.23,62.6,4.7
2070998,Geraldton,0,AU,1603764502,49,-28.77,114.6,73.4,9.17
1624041,Ternate,97,ID,1603764503,65,0.8,127.4,85.3,0.4
1272902,Dhanwār,0,IN,1603764504,54,24.42,85.98,71.96,3.49
4944903,Nantucket,90,US,1603764505,93,41.28,-70.1,59.0,3.36
3664980,Boa Vista,0,BR,1603764506,58,2.82,-60.67,86.0,8.05
752278,Alaca,0,TR,1603764507,39,40.17,34.84,59.67,4.25
1268754,Jutogh,5,IN,1603764508,67,31.1,77.12,60.8,4.7
1485997,Yeniseysk,100,RU,1603764509,97,58.45,92.17,28.56,7.07
1855540,Naze,20,JP,1603764510,57,28.37,129.48,78.8,8.05
2112802,Hasaki,75,JP,1603764511,72,35.73,140.83,66.99,9.17
6111862,Port Hardy,90,CA,1603764512,100,50.7,-127.42,44.6,5.82
2643044,Margate,8,GB,1603764514,83,51.38,1.39,51.01,1.99
5367788,Lompoc,1,US,1603764346,55,34.64,-120.46,62.6,8.05
3598787,Champerico,100,GT,1603764516,96,14.3,-91.92,70.0,6.89
2522437,Adeje,20,ES,1603764517,64,28.12,-16.73,69.8,6.93
2377457,Nouadhibou,0,MR,1603764518,64,20.93,-17.03,75.2,19.46
988698,Knysna,0,ZA,1603764519,100,-34.04,23.05,60.8,6.93
6167817,Torbay,90,CA,1603764521,59,47.67,-52.73,37.99,11.41
611964,Shorap’ani,0,GE,1603764522,62,42.09,43.09,59.0,13.87
3466165,Cidreira,100,BR,1603764523,92,-30.18,-50.21,64.63,14.99
534560,Lodeynoye Pole,100,RU,1603764524,91,60.73,33.55,46.81,9.84
2427336,Moussoro,0,TD,1603764525,23,13.64,16.49,78.55,10.2
2026786,Berezovyy,95,RU,1603764528,63,51.67,135.7,41.79,2.64
3421719,Narsaq,97,GL,1603764529,59,60.92,-46.05,33.8,3.36
158214,Kasulu,20,TZ,1603764531,94,-4.58,30.1,68.0,1.83
795243,Snezhnogorsk,75,RU,1603764532,100,69.19,33.25,33.8,2.24
2094027,Kieta,77,PG,1603764534,63,-6.22,155.63,86.02,5.53
5905616,Bonnyville,90,CA,1603764535,91,54.27,-110.73,32.0,4.7
3396101,Luzilândia,1,BR,1603764536,83,-3.46,-42.37,77.43,7.11
3353383,Rundu,1,NA,1603764522,24,-17.93,19.77,68.47,6.62
5546220,Saint George,1,US,1603764514,9,37.1,-113.58,46.4,27.51
2655288,Boddam,90,GB,1603764539,93,57.47,-1.78,46.4,8.05
3541440,Sagua la Grande,40,CU,1603764540,88,22.81,-80.08,77.0,5.82
2126123,Chokurdakh,100,RU,1603764526,95,70.63,147.92,6.58,10.11
2206894,Hokitika,100,NZ,1603764542,65,-42.72,170.97,61.88,6.64
2156643,Mount Gambier,75,AU,1603764543,67,-37.83,140.77,59.0,14.99
580584,Askarovo,75,RU,1603764544,63,53.34,58.51,30.2,20.13
3883457,Lebu,100,CL,1603764530,87,-37.62,-73.65,50.99,7.47
